choraleNumber,voiceType,amountOfArpeggiation,averageMelodicInterval,durationOfMelodicIntervals,repeatedNotes,melodicTempiIndivLines,rangeIndivVoices,stepwiseMinusChromaticIndiv
1,B,0.244444444,2.844444444,7.8,0.066666667,-0.27546451,-0.019674202,0.4
1,T,0.435897436,1.58974359,15.5,0.358974359,0.695564717,-1.156667528,0.205128205
1,A,0.210526316,1.789473684,6.6,0.184210526,0.870815464,-0.785048527,0.394736842
1,S,0.315789474,1.842105263,11.66666667,0.157894737,0.870815464,-1.53935469,0.578947368
2,B,0.263157895,2.912280702,10.4,0.070175439,-1.270395727,0.674540155,0.368421053
2,T,0.285714286,1.875,10.2,0.178571429,-1.145110036,-1.287919303,0.375
2,A,0.413793103,1.793103448,18,0.293103448,-1.39413059,-0.27110959,0.379310345
2,S,0.4,1.9,12.33333333,0.25,1.162969171,-1.53935469,0.4
3,B,0.228571429,3.657142857,5.8,0.028571429,-0.055314872,1.308662705,0.428571429
3,T,0.27027027,1.702702703,11.33333333,0.189189189,-0.431346783,-0.019674202,0.351351351
3,A,0.333333333,1.787878788,9.666666667,0.242424242,0.339636573,-1.730698272,0.303030303
3,S,0.151515152,1.939393939,5.4,0.060606061,0.339636573,-1.53935469,0.575757576
4,B,0.12962963,3.074074074,12.5,0,-1.548587484,1.43991448,0.5
4,T,0.320754717,2.283018868,6.571428571,0.150943396,-1.415180772,-1.287919303,0.396226415
4,A,0.255319149,1.914893617,3.4,0.14893617,-0.574231912,-2.113385434,0.361702128
4,S,0.142857143,1.857142857,15.33333333,0.081632653,-0.863035712,-1.53935469,0.489795918
5,B,0.142857143,2.75,17.66666667,0,-1.810527695,1.942785255,0.5
5,T,0.291666667,1.833333333,8,0.208333333,-0.719803011,-0.653796752,0.4375
5,A,0.14,1.72,11.5,0.1,-1.00406757,-0.593704946,0.5
5,S,0.155555556,1.755555556,10,0.133333333,-0.27546451,-1.982133659,0.488888889
6,B,0.16,2.8,6.142857143,0,-1.00406757,0.734631961,0.46
6,T,0.422222222,2.133333333,10,0.288888889,-0.27546451,-0.90523214,0.288888889
6,A,0.191489362,1.70212766,10.25,0.127659574,-0.574231912,-1.479262884,0.404255319
6,S,0.155555556,1.755555556,10,0.133333333,-0.27546451,-1.982133659,0.488888889
7,B,0.402777778,3.583333333,23,0.027777778,-2.352790008,2.576907805,0.277777778
7,T,0.492307692,1.830769231,8.142857143,0.292307692,-1.600854195,-0.785048527,0.215384615
7,A,0.52,1.64,8.6,0.36,0.232028639,-1.53935469,0.12
7,S,0.511627907,1.534883721,19,0.372093023,1.258939739,-0.653796752,0.372093023
8,B,0.163636364,3.163636364,17.33333333,0,-1.680340785,1.942785255,0.472727273
8,T,0.116666667,2.433333333,13.75,0.066666667,-2.317152149,-0.462453171,0.5
8,A,0.215686275,2.470588235,11.25,0.098039216,-1.143025556,-0.150925977,0.392156863
8,S,0.173913043,1.608695652,8.2,0.108695652,-0.426173158,-1.53935469,0.565217391
9,B,0.225,2.9875,14.8,0.0375,-0.356488308,2.062968868,0.375
9,T,0.273972603,1.589041096,17,0.205479452,0.220817649,-0.150925977,0.369863014
9,A,0.216216216,1.932432432,23.66666667,0.148648649,0.135689545,0.54328838,0.391891892
9,S,0.21875,2.359375,15,0.046875,1.035539434,-0.462453171,0.5
10,B,0.470588235,3.294117647,11.5,0.196078431,0.096639083,1.188479092,0.294117647
10,T,0.307692308,1.461538462,3.7,0.230769231,-0.036402694,-1.730698272,0.5
10,A,0.4,0.92,11.5,0.38,0.232028639,-2.173477241,0.18
10,S,0.288888889,1.533333333,12.66666667,0.266666667,0.949552179,-0.653796752,0.4
11,B,0.415384615,4.246153846,15.25,0.076923077,-1.711340404,3.150938549,0.230769231
11,T,0.535714286,1.857142857,9.4,0.303571429,-0.547563352,-0.402361365,0.232142857
11,A,0.426229508,2.262295082,11,0.245901639,-1.146872971,-0.019674202,0.245901639
11,S,0.5,2.32,8.8,0.22,0.232028639,-0.27110959,0.42
12,B,0.375,3.75,4.166666667,0.0625,1.425947558,0.554356541,0.28125
12,T,0.487179487,1.538461538,8.75,0.307692308,0.194409565,-1.730698272,0.333333333
12,A,0.454545455,1.431818182,13,0.318181818,-0.574231912,-1.790790078,0.204545455
12,S,0.166666667,2.033333333,13.5,0.066666667,1.824839398,-1.408102916,0.566666667
13,B,0.216216216,2.756756757,11.33333333,0.081081081,-0.431346783,3.019686774,0.432432432
13,T,0.324324324,2.054054054,8.25,0.162162162,-0.431346783,0.040417605,0.378378378
13,A,0.414634146,1.56097561,6.6,0.268292683,-1.137463164,-0.402361365,0.170731707
13,S,0.310344828,1.827586207,8.666666667,0.137931034,1.201433694,-0.653796752,0.413793103
14,B,0.292307692,3.092307692,9.666666667,0.015384615,0.595643064,0.674540155,0.292307692
14,T,0.410714286,1.625,7,0.267857143,1.622632911,-0.211017783,0.232142857
14,A,0.290322581,1.774193548,5.333333333,0.161290323,0.920742723,-1.670606465,0.370967742
14,S,0.36,1.62,3.6,0.26,2.41371519,-2.173477241,0.46
15,B,0.182926829,3.292682927,26.33333333,0.024390244,-0.81419399,2.636999612,0.365853659
15,T,0.372093023,2.046511628,8.222222222,0.23255814,-1.152742134,-0.402361365,0.372093023
15,A,0.3,1.8625,18.75,0.175,-0.640124314,1.560098093,0.325
15,S,0.116883117,1.857142857,13.6,0.064935065,-0.372333622,-0.019674202,0.558441558
16,B,0.328125,2.90625,20.33333333,0.015625,-2.107980701,2.194220643,0.265625
16,T,0.289855072,2.217391304,10.5,0.115942029,-2.671868227,-0.653796752,0.391304348
16,A,0.3,2.128571429,16.25,0.128571429,-2.781836617,-0.402361365,0.457142857
16,S,0.363636364,1.272727273,13,0.340909091,0.516916141,-1.53935469,0.454545455
17,B,0.295081967,2.786885246,10.8,0.081967213,0.661173936,-0.462453171,0.459016393
17,T,0.310344828,1.517241379,10.4,0.24137931,1.01027843,-1.53935469,0.379310345
17,A,0.186440678,1.627118644,8.666666667,0.118644068,0.891936883,-1.53935469,0.372881356
17,S,0.288888889,2.044444444,2.727272727,0.088888889,2.790758084,-2.61625621,0.555555556
18,B,0.259259259,2.796296296,17,0.055555556,-0.295955152,0.614448348,0.388888889
18,T,0.375,1.553571429,17.66666667,0.25,-0.547563352,-0.785048527,0.285714286
18,A,0.42,1.42,11.5,0.36,0.232028639,-1.036483915,0.38
18,S,0.142857143,2.238095238,9.5,0.047619048,1.419320989,-0.90523214,0.452380952
19,B,0.245283019,3.056603774,12.25,0.037735849,-0.167227124,1.560098093,0.396226415
19,T,0.20754717,1.79245283,16.66666667,0.169811321,-0.167227124,-0.402361365,0.509433962
19,A,0.36,2.06,5.714285714,0.24,0.232028639,-0.402361365,0.3
19,S,0.142857143,2.19047619,9.5,0.071428571,1.419320989,-0.90523214,0.476190476
20,B,0.259259259,3.351851852,12,0.055555556,-0.295955152,2.828343193,0.314814815
20,T,0.28,1.6,9,0.22,0.232028639,-0.402361365,0.5
20,A,0.391304348,1.282608696,14,0.326086957,0.800061827,0.100509411,0.239130435
20,S,0.19047619,1.428571429,20,0.142857143,1.419320989,-0.402361365,0.452380952
21,B,0.285714286,3.285714286,17.66666667,0.053571429,-1.810527695,0.925975543,0.392857143
21,T,0.303571429,1.714285714,10,0.232142857,-1.810527695,-0.90523214,0.375
21,A,0.384615385,1.307692308,5.571428571,0.346153846,-1.280027059,-1.670606465,0.384615385
21,S,0.395348837,1.534883721,13,0.279069767,0.034625168,-0.90523214,0.441860465
22,B,0.230769231,2.980769231,16.33333333,0.019230769,-2.864717333,0.231761186,0.519230769
22,T,0.265306122,1.816326531,4.444444444,0.163265306,-2.417367297,-1.922041853,0.387755102
22,A,0.428571429,1.714285714,3,0.285714286,-1.305978171,-2.113385434,0.19047619
22,S,0.333333333,1.666666667,5.8,0.166666667,-0.245504017,-2.61625621,0.388888889
