choraleNumber,voiceType,amountOFArpeggiation,averageMelodicInterval,averageNumberOfIndependentVoices,durationOfMelodicArcs,repeatedNotes,melodicTempiFullChorale,rangeFullChorale,stepwiseMinusChromaticFull,majorMinusMinorFull,dissonantChordsFull
1, W,0.3,2.05,1,9.2,0.1875,-0.74930456,-2.053290915,0.39375,0.413793103,0.620689655
2, W,0.336492891,2.137440758,1,12.125,0.194312796,0.877367065,-1.564835435,0.379146919,0.142857143,0.532467532
3, W,0.246376812,2.275362319,1,7.4375,0.130434783,-0.125411324,-0.812457443,0.413043478,0.522727273,0.568181818
4, W,0.21182266,2.305418719,1,7.333333333,0.093596059,1.375304548,-0.587924473,0.438423645,0.211267606,0.605633803
5, W,0.180904523,2.045226131,1,11.1875,0.105527638,1.193194084,-1.604224975,0.48241206,0.104477612,0.552238806
6, W,0.229946524,2.112299465,1,8.631578947,0.13368984,0.630453349,-0.851846984,0.411764706,0.129032258,0.580645161
7, W,0.473913043,2.282608696,1,12.17647059,0.239130435,0.885185005,1.365897449,0.243478261,0.130952381,0.535714286
8, W,0.16509434,2.452830189,1,12.0625,0.066037736,1.776210988,-1.604224975,0.481132075,0.155844156,0.649350649
9, W,0.233676976,2.23024055,1,17.0625,0.109965636,-0.377584931,0.310207406,0.405498282,0.051020408,0.459183673
10, W,0.368686869,1.813131313,1,7.952380952,0.267676768,-0.457066159,-0.733678362,0.343434343,0.271428571,0.557142857
11, W,0.465517241,2.732758621,1,10.89473684,0.206896552,1.003305894,0.467765569,0.275862069,0.518072289,0.638554217
12, W,0.386206897,2.096551724,1,8.4,0.206896552,-0.914852341,-0.958211332,0.331034483,0.4,0.618181818
13, W,0.319444444,2.048611111,1,8.4,0.166666667,0.247708131,0.613519458,0.340277778,0.113207547,0.566037736
14, W,0.334763948,2.072961373,1,5.96875,0.167381974,-1.812116785,-2.053290915,0.334763948,-0.058139535,0.546511628
15, W,0.246153846,2.270769231,1,14.0952381,0.126153846,0.911021709,0.838052428,0.403076923,0.18699187,0.528455285
16, W,0.315789474,2.20242915,1,14.25,0.133603239,2.340634304,1.141364479,0.388663968,0.229885057,0.551724138
17, W,0.269058296,2,1,6.962962963,0.134529148,-1.724837277,-2.238434344,0.434977578,0.37037037,0.617283951
18, W,0.306930693,1.995049505,1,13.42857143,0.183168317,-0.279816843,-1.828757945,0.371287129,0.131578947,0.526315789
19, W,0.242424242,2.282828283,1,9.833333333,0.131313131,-0.457066159,-0.138858534,0.419191919,0.217391304,0.507246377
20, W,0.28125,1.979166667,1,12.5,0.182291667,-0.728995599,2.039496359,0.375,0.092307692,0.523076923
21, W,0.338164251,2,1,10.05555556,0.222222222,1.554939351,-0.587924473,0.396135266,0.210526316,0.526315789
22, W,0.30726257,2.100558659,1,5.481481481,0.150837989,2.219485171,-1.828757945,0.379888268,-0.140625,0.546875
23, W,0.318777293,1.908296943,1,9,0.183406114,-0.671228726,0.046284896,0.31441048,-0.024096386,0.578313253
24, W,0.238675958,2.231707317,1,21.03846154,0.12543554,1.191736726,2.264029329,0.411149826,0.040358744,0.488789238
25, W,0.278969957,2.193133047,1,9.857142857,0.120171674,1.087919776,1.814963389,0.369098712,0.070588235,0.517647059
26, W,0.244813278,2.34439834,1,11.52631579,0.087136929,1.465059942,0.574129917,0.406639004,0.101123596,0.483146067
27, W,0.258181818,2.454545455,1,10.33333333,0.130909091,1.134243603,1.365897449,0.4,0.041666667,0.541666667
28, W,0.355371901,2.314049587,1,9,0.157024793,-0.983833004,-0.284612422,0.355371901,0.512195122,0.609756098
29, W,0.298611111,2.152777778,1,10.75,0.145833333,-3.93177816,0.388986488,0.375,0.152542373,0.525423729
30, W,0.230283912,1.873817035,1,18.625,0.129337539,0.682509806,2.303418869,0.413249211,0.100840336,0.521008403
